"Distance","Season","Day","Replica","nsp","abu","bio","spor","sumb","lmer","soff"
"Near","Summer",1,1,6,13,1876.7,265.4,0,1154.8,0
"Near","Summer",1,2,8,31,3917.4,326.1,105.5,318.9,1
"Near","Summer",1,3,6,10,1895.5,347.7,0,866.9,0
"Near","Summer",1,4,5,13,2066.1,329.2,0,1138.7,0
"Near","Summer",1,5,9,14,2338.1,102.4,197.3,1115.1,0
"Near","Summer",1,6,5,12,3009.5,290,360.9,1424.5,0
"Near","Summer",2,1,5,9,2109,71.8,364.5,1228.6,0
"Near","Summer",2,2,10,20,2471.8,447,247.4,586.5,0
"Near","Summer",2,3,11,21,3787,212.5,0,1791.2,0.9
"Near","Summer",2,4,4,16,2484.9,476.5,1231.5,484.1,0
"Near","Summer",2,5,7,14,2016.8,423.3,197.3,1052.8,1
"Near","Summer",2,6,7,16,3030.7,140.7,906.3,933.5,0
"Near","Summer",3,1,2,4,757.6,0,0,756.4,0
"Near","Summer",3,2,4,10,2715.8,379.9,762.3,1262.1,0
"Near","Summer",3,3,7,16,3259.3,515.8,1267.3,987.5,0
"Near","Summer",3,4,5,8,1805.7,174.1,393.2,458.2,0
"Near","Summer",3,5,3,6,945.6,226.9,0,642.9,0
"Near","Summer",3,6,9,11,1682.2,174.1,175.8,318.9,1
"Near","Summer",4,1,6,15,3428.1,120.5,885.7,1645.4,0
"Near","Summer",4,2,5,5,618.4,0,57.1,286.3,1
"Near","Summer",4,3,7,15,1969.2,0,423.3,1035.4,2.3
"Near","Summer",4,4,6,15,2911.7,703.5,0,1629.1,0
"Near","Summer",4,5,6,15,3604.6,120.5,364.5,2146.8,0
"Near","Summer",4,6,5,14,3167.8,222.9,155.9,2232.3,0
"Near","Summer",5,1,4,10,2326.3,283.6,175.8,1513,0
"Near","Summer",5,2,6,12,2470.5,251.3,1262,156.4,0
"Near","Summer",5,3,7,14,1697.8,312.8,105.5,992.8,2
"Near","Summer",5,4,6,15,2442.9,465.2,0,868.5,0
"Near","Summer",5,5,7,13,2382,367.6,436.4,833.3,0
"Near","Summer",5,6,10,25,4254.6,713.2,469.7,1556.9,0
"Near","Summer",6,1,5,14,2467.6,433.6,399.4,1507.2,0
"Near","Summer",6,2,5,10,1566.6,283.6,155.9,720.7,0
"Near","Summer",6,3,5,10,1756.2,244.1,0,1292.4,0
"Near","Summer",6,4,8,12,1481.8,120.5,0,380.4,0
"Near","Summer",6,5,10,17,2418.5,375.5,184.3,593.6,0
"Near","Summer",6,6,5,11,2025.2,485,0,1259.7,0
"Near","Winter",1,1,8,15,3723.8,86.2,623,575,321.6
"Near","Winter",1,2,12,39,7003.6,1472.3,469.4,406.3,309.8
"Near","Winter",1,3,11,39,6864.2,1497.9,1140.2,1553.7,0
"Near","Winter",1,4,12,39,7157.3,448.2,1147.7,1166.5,0
"Near","Winter",1,5,10,41,6415.3,868.8,680.3,1820,563.1
"Near","Winter",1,6,11,46,8681.4,276.5,1858.7,2087.3,0
"Near","Winter",2,1,4,13,3015,532,175.8,2014.3,0
"Near","Winter",2,2,5,14,3463.9,804.4,0,838.5,0
"Near","Winter",2,3,11,20,4474.9,174.1,414.4,286.3,309.8
"Near","Winter",2,4,10,24,5237.9,587.4,822.7,1001.5,253.3
"Near","Winter",2,5,6,18,2898.4,743.2,120.8,1226.4,0
"Near","Winter",2,6,8,24,5249.7,319.4,856.6,1836.2,414.1
"Near","Winter",3,1,6,13,2266.6,633.5,245.5,178.3,124.1
"Near","Winter",3,2,7,13,2506.2,600.5,592.4,774.8,93.2
"Near","Winter",3,3,7,15,2850.8,563.7,0,816.1,445.5
"Near","Winter",3,4,10,17,6638.4,0,864,202.1,506.6
"Near","Winter",3,5,7,16,3153.5,377.6,258.5,228,766.9
"Near","Winter",3,6,6,11,1826.9,281.4,0,354,878
"Near","Winter",4,1,9,21,3566.2,704.7,137.6,800.7,160.8
"Near","Winter",4,2,5,19,2770.1,1248.6,451.1,0,0
"Near","Winter",4,3,8,27,5811.9,1814.1,1120.8,1652.4,0
"Near","Winter",4,4,7,26,4296.7,1523.1,394.6,1597.4,0
"Near","Winter",4,5,8,23,5128.9,833.8,518.4,608.4,414.1
"Near","Winter",4,6,8,24,4907.7,1445.3,689.9,659.7,203.7
"Near","Winter",5,1,5,15,2239.5,1113.2,0,256.1,513.6
"Near","Winter",5,2,7,17,4444.1,578.1,2546,475.4,253.3
"Near","Winter",5,3,8,20,4182,385.9,2297.8,312.8,525.4
"Near","Winter",5,4,8,17,3433.7,843.2,730,732,346.5
"Near","Winter",5,5,6,20,4498.3,1079.5,2832.8,86.9,0
"Near","Winter",5,6,6,18,4407.8,838.9,2350.4,896.5,0
"Near","Winter",6,1,7,13,2417.1,490.5,275.3,542.4,253.3
"Near","Winter",6,2,8,17,2981.6,612.8,155.9,750.6,457
"Near","Winter",6,3,7,19,3372.1,779.1,137.6,876,817.5
"Near","Winter",6,4,5,12,2060.4,359.4,0,575,658.7
"Near","Winter",6,5,6,13,1939.2,570.2,0,178.3,327.8
"Near","Winter",6,6,6,10,1491.6,675.6,0,202.1,124.1
"Near","Spring",1,1,3,5,859.9,71.8,0,431.6,0
"Near","Spring",1,2,2,3,805.3,0,0,0,0
"Near","Spring",1,3,4,5,1801.5,102.4,607.7,0,513.6
"Near","Spring",1,4,3,3,546.6,140.7,0,318.9,0
"Near","Spring",1,5,3,7,1569,0,0,475.4,755.4
"Near","Spring",1,6,6,9,2467.8,249.2,0,356.6,0
"Near","Spring",2,1,3,11,1566.4,271.5,0,488.4,0
"Near","Spring",2,2,3,4,767.9,199.8,0,0,0
"Near","Spring",2,3,1,7,700,700,0,0,0
"Near","Spring",2,4,6,12,2408.7,438.9,120.8,436.5,203.7
"Near","Spring",2,5,5,9,1048.1,385.9,0,0,321.6
"Near","Spring",2,6,4,6,821.3,119.8,0,458.2,0
"Near","Spring",3,1,5,8,1311.7,260.3,175.8,0,619.7
"Near","Spring",3,2,3,14,2141.2,217,0,1374.4,0
"Near","Spring",3,3,7,16,5338.4,174.1,708.1,1455,309.8
"Near","Spring",3,4,2,9,1704.8,559.9,0,1145,0
"Near","Spring",3,5,5,12,1924.4,583.6,0,384.4,373.8
"Near","Spring",3,6,4,13,2603.5,0,0,1540.9,807.7
"Near","Spring",4,1,7,17,2493.1,478,0,698.8,124.1
"Near","Spring",4,2,7,13,3171.8,86.2,0,1335.6,563.1
"Near","Spring",4,3,6,17,2936.2,563.4,105.5,1769,296.9
"Near","Spring",4,4,6,15,2508.9,1362.6,0,274.7,0
"Near","Spring",4,5,7,18,3629.5,349,120.8,1782.4,488.6
"Near","Spring",4,6,8,19,3516.6,729.1,941.4,734.4,594.7
"Near","Spring",5,1,5,5,1961.4,86.2,0,0,525.4
"Near","Spring",5,2,5,6,1691.2,86.2,0,391.5,525.4
"Near","Spring",5,3,5,9,2605.9,247.6,1146.8,286.3,0
"Near","Spring",5,4,4,7,2821.7,199.8,0,991.9,0
"Near","Spring",5,5,7,13,3001.5,504.5,272.4,156.4,327.8
"Near","Spring",5,6,5,16,3162.9,624.8,0,1169.6,923.6
"Near","Spring",6,1,5,9,1378.5,462.1,0,272.9,373.8
"Near","Spring",6,2,4,11,2114.7,672.7,0,1085.1,0
"Near","Spring",6,3,5,15,2914.8,702.2,0,584.6,0
"Near","Spring",6,4,5,19,3368.9,1223.4,396.1,1470.4,160.8
"Near","Spring",6,5,4,17,3153,609.2,0,1891.7,253.3
"Near","Spring",6,6,4,9,1524.3,86.2,0,1205.9,0
"Medium","Summer",1,1,6,10,1193.1,229.7,155.9,404.2,0
"Medium","Summer",1,2,6,10,1515.5,367.8,0,434.3,0
"Medium","Summer",1,3,7,8,902.7,273.8,0,202.1,0
"Medium","Summer",1,4,7,16,1835.6,552.2,0,944.7,0
"Medium","Summer",1,5,8,13,1960.4,241.1,220.5,338.5,0.9
"Medium","Summer",1,6,3,8,2565.9,0,0,2442.1,0
"Medium","Summer",2,1,5,5,965.1,59.1,197.3,0,0
"Medium","Summer",2,2,5,10,3976.8,120.5,351.6,1531.4,0
"Medium","Summer",2,3,9,17,3653.1,283.6,873.7,1084.6,1
"Medium","Summer",2,4,6,14,2208.3,86.2,352.9,1011.6,0
"Medium","Summer",2,5,5,7,932.9,71.8,275.3,178.3,0
"Medium","Summer",2,6,4,6,553.7,278.4,155.9,0,1.1
"Medium","Summer",3,1,5,10,2582.3,120.5,155.9,1862.7,0
"Medium","Summer",3,2,6,17,3110.5,261.2,341.4,1768.5,0
"Medium","Summer",3,3,5,10,1593.1,260.3,0,985.7,1
"Medium","Summer",3,4,5,11,1389.5,505.6,0,475.4,1.1
"Medium","Summer",3,5,8,12,2413.1,157.9,717.2,901.9,1
"Medium","Summer",3,6,5,8,1944.2,243.1,47.9,788.3,0
"Medium","Summer",4,1,4,9,2118.8,222.9,0,391.5,0
"Medium","Summer",4,2,10,20,3468.1,134.1,331.8,2287.7,0
"Medium","Summer",4,3,7,13,2612.3,187.6,301.1,1722.6,0
"Medium","Summer",4,4,8,14,2495.6,158.9,0,1252.7,1
"Medium","Summer",4,5,7,12,2083.7,587.7,0,484.1,1.3
"Medium","Summer",4,6,4,11,2404.3,86.2,433.6,1868.4,0
"Medium","Summer",5,1,6,13,1802.3,343.1,0,845,0
"Medium","Summer",5,2,7,9,1181.3,0,0,687.7,0.9
"Medium","Summer",5,3,5,15,2573.8,225.9,105.5,1839.2,0
"Medium","Summer",5,4,8,19,3608,327.2,458.6,1304.1,0
"Medium","Summer",5,5,4,8,926.8,564.5,0,178.3,0
"Medium","Summer",5,6,5,14,3069.7,206.7,0,1150.7,0
"Medium","Summer",6,1,5,8,1340.5,0,331.7,497.2,1.1
"Medium","Summer",6,2,3,7,1358,771.3,0,0,0
"Medium","Summer",6,3,2,5,749.6,436.8,0,312.8,0
"Medium","Summer",6,4,3,4,882.7,0,0,652.7,0
"Medium","Summer",6,5,3,4,815.4,0,0,497.2,0
"Medium","Summer",6,6,9,10,2293.4,0,561.3,404.2,0
"Medium","Winter",1,1,9,16,3304.4,140.7,981.8,228,253.3
"Medium","Winter",1,2,8,24,3937.9,549,627.6,994.3,253.3
"Medium","Winter",1,3,9,20,4438.2,140.7,967.8,1608,0
"Medium","Winter",1,4,8,28,4523,333.8,1498.4,594.6,0
"Medium","Winter",1,5,12,24,5342.3,243.9,760,513,0
"Medium","Winter",1,6,10,26,5995.3,627.4,1289.2,431.6,203.7
"Medium","Winter",2,1,5,7,1554.9,283.6,212.3,0,160.8
"Medium","Winter",2,2,5,8,1148.3,172.3,335,178.3,0
"Medium","Winter",2,3,4,15,2125.3,188.5,1721.6,0,203.7
"Medium","Winter",2,4,8,24,3667.7,808.5,999.8,725.2,414.1
"Medium","Winter",2,5,4,9,1391.5,260.3,428.3,475.4,0
"Medium","Winter",2,6,6,13,3610.6,535.7,120.8,976.4,0
"Medium","Winter",3,1,2,4,633.1,0,0,0,0
"Medium","Winter",3,2,4,12,1989.6,792.1,442.9,636.4,0
"Medium","Winter",3,3,7,16,5486,343.4,648.8,920.6,0
"Medium","Winter",3,4,6,8,1812.1,206.7,293.6,0,373.8
"Medium","Winter",3,5,6,10,2899.4,102.4,649.9,0,457
"Medium","Winter",3,6,7,10,2054.1,86.2,258.5,178.3,941.6
"Medium","Winter",4,1,10,24,5836,1317.2,220.5,1359.5,296.9
"Medium","Winter",4,2,7,27,5388.2,2031.4,0,836.4,445.5
"Medium","Winter",4,3,10,37,8085.9,3347.4,0,228,1279.9
"Medium","Winter",4,4,6,19,4280.1,942,1073.8,932.6,253.3
"Medium","Winter",4,5,10,25,5004.4,1220.9,1228.7,256.1,1038.9
"Medium","Winter",4,6,7,18,2623.2,1154.9,559,0,124.1
"Medium","Winter",5,1,4,9,1452.3,564,364.5,0,321.6
"Medium","Winter",5,2,1,0,0,0,0,0,0
"Medium","Winter",5,3,6,11,1029.8,595.6,0,156.4,124.1
"Medium","Winter",5,4,7,14,2831.7,889.2,0,0,186.3
"Medium","Winter",5,5,5,10,1595.2,823.7,197.3,256.1,0
"Medium","Winter",5,6,4,14,3191.1,1457.4,1258.5,431.6,0
"Medium","Winter",6,1,5,11,3101.5,437.4,399.4,488.4,1598
"Medium","Winter",6,2,9,16,4258.8,509.2,155.9,286.3,617.8
"Medium","Winter",6,3,4,5,1057.7,303.7,0,256.1,373.8
"Medium","Winter",6,4,5,11,2072.9,747.4,0,318.9,248.2
"Medium","Winter",6,5,5,13,2440.1,457.7,0,1025.3,618.5
"Medium","Winter",6,6,8,18,4825.8,1346.8,517.3,178.3,203.7
"Medium","Spring",1,1,5,12,2714.6,187.6,0,1403.1,373.8
"Medium","Spring",1,2,5,9,1246,143.5,175.8,286.3,0
"Medium","Spring",1,3,4,6,1122.6,0,0,356.6,309.8
"Medium","Spring",1,4,4,8,1734,188.5,0,0,534.6
"Medium","Spring",1,5,7,13,2443.3,179.1,175.8,1064.4,203.7
"Medium","Spring",1,6,5,7,1603.3,163,0,256.1,738.3
"Medium","Spring",2,1,6,12,3370.4,329.2,155.9,1223.5,0
"Medium","Spring",2,2,5,13,1607.9,189.9,0,521.1,203.7
"Medium","Spring",2,3,7,15,4803.1,188.5,0,996.4,0
"Medium","Spring",2,4,4,11,2813,276.5,0,1826.8,160.8
"Medium","Spring",2,5,6,11,2260.5,161.4,399.4,912.6,457
"Medium","Spring",2,6,6,15,2297.8,540.3,197.3,136.4,253.3
"Medium","Spring",3,1,4,9,1197.3,350,0,712.1,124.1
"Medium","Spring",3,2,8,15,4392.2,188.5,788.8,422.8,0
"Medium","Spring",3,3,3,6,1048.9,428.4,0,484.1,0
"Medium","Spring",3,4,3,3,464.5,0,0,256.1,0
"Medium","Spring",3,5,7,16,2396.2,150.3,0,951.2,253.3
"Medium","Spring",3,6,3,8,873,634.5,0,0,203.7
"Medium","Spring",4,1,5,10,2145.7,174.1,517.3,1180.8,0
"Medium","Spring",4,2,4,8,1636.7,536.8,0,521.1,0
"Medium","Spring",4,3,5,10,2147.9,243.9,0,1355.3,203.7
"Medium","Spring",4,4,4,7,1099.4,119.7,0,648.5,160.8
"Medium","Spring",4,5,4,7,1569.5,143.5,0,579.2,124.1
"Medium","Spring",4,6,3,10,1824.9,1040.7,0,566.4,0
"Medium","Spring",5,1,3,4,1075.5,48,0,582,445.5
"Medium","Spring",5,2,4,6,1191.8,140.7,0,156.4,807.7
"Medium","Spring",5,3,5,9,1339.8,657.6,0,156.4,203.7
"Medium","Spring",5,4,4,9,2631.5,983.5,245.5,0,1224.2
"Medium","Spring",5,5,2,3,475.9,273.8,0,202.1,0
"Medium","Spring",5,6,3,9,1668.5,431.9,0,1100.2,0
"Medium","Spring",6,1,4,6,1304.1,188.5,867.7,202.1,0
"Medium","Spring",6,2,5,11,1848.8,433.5,376.5,676.5,0
"Medium","Spring",6,3,5,12,2068.5,290,0,1189.8,203.7
"Medium","Spring",6,4,3,9,1248.6,377.1,0,627.5,0
"Medium","Spring",6,5,5,10,2013.8,422.2,0,0,160.8
"Medium","Spring",6,6,4,9,1879.5,528.1,0,1051.2,0
"Far","Summer",1,1,9,23,4209.7,102.4,197.3,1819.7,0.9
"Far","Summer",1,2,5,7,1374.1,206.7,0,391.5,0
"Far","Summer",1,3,7,21,3034.6,264,764,1044.7,0
"Far","Summer",1,4,8,16,3154.2,274.7,0,1193.6,0
"Far","Summer",1,5,8,20,2552.6,0,188.2,1632.9,2.9
"Far","Summer",1,6,5,13,2437,485.3,155.9,948.7,0
"Far","Summer",2,1,5,7,1076,188.5,498.4,286.3,0.9
"Far","Summer",2,2,3,7,1121.5,71.8,0,913.3,0
"Far","Summer",2,3,6,14,2550.6,347.4,548.9,846.8,0
"Far","Summer",2,4,6,17,9308.1,120.5,731.1,1996.5,0
"Far","Summer",2,5,5,9,1735.4,0,288.8,868.3,0.8
"Far","Summer",2,6,7,11,2233,140.7,199.6,630.9,1.8
"Far","Summer",3,1,6,15,2504.6,572.2,492.9,1014.1,0
"Far","Summer",3,2,6,15,2882.3,363.6,373.1,1966.8,1.1
"Far","Summer",3,3,5,6,1211.9,120.5,0,776.1,0
"Far","Summer",3,4,5,11,1777.4,595.7,320.5,610,0
"Far","Summer",3,5,7,9,1111.4,226.9,210.9,228,1.1
"Far","Summer",3,6,8,18,2200.7,140.7,671,430.1,2.9
"Far","Summer",4,1,6,18,3170.4,0,272.4,1276.7,0
"Far","Summer",4,2,6,8,955,206.7,613.3,0,1
"Far","Summer",4,3,8,13,1844.5,0,517.2,228,0
"Far","Summer",4,4,3,4,1501.9,0,0,0,0
"Far","Summer",4,5,7,23,1986.7,119.7,0,1037.4,0
"Far","Summer",4,6,4,4,810.1,0,0,0,0
"Far","Summer",5,1,2,2,225.8,0,0,0,0
"Far","Summer",5,2,4,6,1614.7,0,0,0,0
"Far","Summer",5,3,8,11,1317.2,103.5,137.6,0,0.9
"Far","Summer",5,4,10,14,1733.3,319.4,220.5,202.1,0
"Far","Summer",5,5,5,11,1899.1,0,0,1117.4,0
"Far","Summer",5,6,6,12,1931.6,0,91.5,646.2,0.8
"Far","Summer",6,1,4,9,991,188.5,0,631.4,0
"Far","Summer",6,2,5,6,1027.3,102.4,0,582,0
"Far","Summer",6,3,6,8,1101.2,71.8,0,677.8,1
"Far","Summer",6,4,7,12,2527.9,140.7,0,745.5,0
"Far","Summer",6,5,9,12,2779.3,0,656.6,354,1
"Far","Summer",6,6,3,4,218.9,0,157.6,0,0
"Far","Winter",1,1,7,17,4885.4,506.5,0,1258.6,729.1
"Far","Winter",1,2,8,12,1886.7,71.8,612.6,542.4,93.2
"Far","Winter",1,3,10,17,2283.1,71.8,0,384.4,467
"Far","Winter",1,4,9,15,2914.2,477.6,394.6,464.6,309.8
"Far","Winter",1,5,7,17,2905.8,179.6,137.6,1598.3,0
"Far","Winter",1,6,7,21,6863.3,48,120.8,1635.7,0
"Far","Winter",2,1,4,6,1077.3,187.6,0,0,656.3
"Far","Winter",2,2,7,9,3565.7,222.9,596.7,431.6,203.7
"Far","Winter",2,3,3,5,871.1,343.4,0,0,309.8
"Far","Winter",2,4,3,5,1017.4,140.7,0,0,720.2
"Far","Winter",2,5,7,10,2257.2,102.4,805.2,528,160.8
"Far","Winter",2,6,5,9,1983.1,300.7,410,0,674.4
"Far","Winter",3,1,5,9,1446.6,157.9,137.6,0,309.8
"Far","Winter",3,2,2,2,297.1,140.7,0,0,0
"Far","Winter",3,3,9,14,3363.8,174.1,175.8,1580.3,253.3
"Far","Winter",3,4,7,7,1199.2,214.5,245.5,0,0
"Far","Winter",3,5,8,16,5362.3,0,220.5,1175.1,0
"Far","Winter",3,6,5,8,1293.2,120.5,220.5,136.4,0
"Far","Winter",4,1,10,16,4024.2,406.8,155.9,431.6,414.1
"Far","Winter",4,2,12,22,4050,281.4,220.5,0,1713.8
"Far","Winter",4,3,7,11,1790.7,437.4,91.5,0,581.1
"Far","Winter",4,4,7,12,1658.8,380.8,175.8,0,390.1
"Far","Winter",4,5,8,18,4703.1,575.4,955.9,861.3,203.7
"Far","Winter",4,6,12,18,4954.3,498.4,175.8,582,534.6
"Far","Winter",5,1,4,9,1284.2,366.4,0,0,0
"Far","Winter",5,2,3,3,599.6,71.8,0,0,0
"Far","Winter",5,3,8,9,1477.4,120.5,91.5,0,93.2
"Far","Winter",5,4,7,16,5306.9,59.1,394.6,0,0
"Far","Winter",5,5,6,9,1501.2,102.4,0,434.3,0
"Far","Winter",5,6,6,14,1955.8,490.7,105.5,358.5,0
"Far","Winter",6,1,6,17,2656.5,844.7,0,0,0
"Far","Winter",6,2,6,24,5857.6,300.7,0,286.3,0
"Far","Winter",6,3,7,14,3898,508.5,0,0,683.6
"Far","Winter",6,4,13,22,4926.9,456.4,0,0,574.9
"Far","Winter",6,5,9,11,4374.1,243.1,0,0,737.8
"Far","Winter",6,6,4,6,1297.2,0,0,0,309.8
"Far","Spring",1,1,2,2,225.9,0,0,0,124.1
"Far","Spring",1,2,4,7,1152.3,348.3,0,286.3,373.8
"Far","Spring",1,3,8,9,2210.6,161.4,0,354,0
"Far","Spring",1,4,5,10,2060.9,533.1,0,835.9,373.8
"Far","Spring",1,5,6,15,6349.1,188.5,175.8,1381.2,0
"Far","Spring",1,6,5,8,2829.4,130.8,0,824.1,0
"Far","Spring",2,1,6,24,4245.1,120.5,155.9,1902.1,0
"Far","Spring",2,2,4,8,1898,0,0,380.4,0
"Far","Spring",2,3,7,26,4017.1,0,0,458.2,0
"Far","Spring",2,4,7,20,3209.1,330.2,0,156.4,531.6
"Far","Spring",2,5,6,20,2896.2,189.9,399.4,358.5,0
"Far","Spring",2,6,9,14,4124.9,0,120.8,228,160.8
"Far","Spring",3,1,6,11,2927.3,247.6,1592.6,831,0
"Far","Spring",3,2,5,14,3871.3,247.6,782.6,521.1,0
"Far","Spring",3,3,6,15,1944.5,463.6,0,406.3,0
"Far","Spring",3,4,4,8,1174.6,278.4,0,406.3,0
"Far","Spring",3,5,5,8,2409.4,309.1,0,0,0
"Far","Spring",3,6,4,11,2256.9,273.8,0,1388.4,0
"Far","Spring",4,1,5,9,1916.5,102.4,0,744.5,534.6
"Far","Spring",4,2,4,9,2346.9,0,0,746.4,1026.5
"Far","Spring",4,3,5,6,1992,86.2,91.5,314.7,0
"Far","Spring",4,4,2,11,1354.6,363.6,0,0,0
"Far","Spring",4,5,7,26,3578.5,306.5,0,1237.2,124.1
"Far","Spring",4,6,3,7,1602.5,0,0,593.6,373.8
"Far","Spring",5,1,6,19,3128.1,274.8,0,475.4,916
"Far","Spring",5,2,4,16,3436.5,0,137.6,0,871.8
"Far","Spring",5,3,3,23,5726.7,0,0,995,2007.7
"Far","Spring",5,4,7,29,4299,86.2,67.4,1024.5,0
"Far","Spring",5,5,6,16,3135.3,17.4,0,793.4,407.5
"Far","Spring",5,6,3,10,1439.1,0,0,178.3,0
"Far","Spring",6,1,5,10,2774.4,71.8,0,0,1208.5
"Far","Spring",6,2,5,11,2958.7,325.3,0,0,0
"Far","Spring",6,3,5,16,3039.2,283.6,197.3,0,951.3
"Far","Spring",6,4,6,18,3164,281.4,0,905.9,0
"Far","Spring",6,5,4,13,1766,245.9,0,156.4,327.8
"Far","Spring",6,6,2,16,2526.7,0,0,356.6,0
